Macrotrends Data Download

NASDAQ Composite - 45 Year Historical Chart

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.



ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, value
1971-02-01,799.57,101.340
1971-03-01,833.98,105.970
1971-04-01,881.56,112.300
1971-05-01,845.54,108.250
1971-06-01,835.88,107.800
1971-07-01,814.26,105.270
1971-08-01,836.57,108.420
1971-09-01,841.28,109.030
1971-10-01,808.95,105.100
1971-11-01,800.26,103.970
1971-12-01,874.05,114.120
1972-01-01,910.43,118.870
1972-02-01,955.65,125.380
1972-03-01,974.38,128.140
1972-04-01,996.14,131.330
1972-05-01,1002.85,132.530
1972-06-01,981.97,130.080
1972-07-01,959.79,127.750
1972-08-01,973.98,129.950
1972-09-01,969.09,129.610
1972-10-01,969.25,130.240
1972-11-01,987.10,132.960
1972-12-01,990.54,133.730
1973-01-01,948.88,128.400
1973-02-01,883.57,120.410
1973-03-01,853.93,117.460
1973-04-01,778.68,107.850
1973-05-01,736.03,102.640
1973-06-01,719.18,100.980
1973-07-01,772.00,108.640
1973-08-01,731.99,104.870
1973-09-01,774.51,111.200
1973-10-01,760.50,110.170
1973-11-01,641.29,93.510
1973-12-01,628.18,92.190
1974-01-01,641.25,94.930
1974-02-01,629.22,94.350
1974-03-01,607.69,92.270
1974-04-01,569.63,86.860
1974-05-01,519.46,80.200
1974-06-01,487.97,75.960
1974-07-01,445.98,69.990
1974-08-01,392.68,62.370
1974-09-01,346.32,55.670
1974-10-01,401.82,65.230
1974-11-01,384.81,62.950
1974-12-01,362.81,59.820
1975-01-01,421.61,69.780
1975-02-01,437.71,73.000
1975-03-01,451.92,75.660
1975-04-01,467.39,78.540
1975-05-01,491.70,83.100
1975-06-01,511.07,87.020
1975-07-01,483.17,83.190
1975-08-01,458.02,79.010
1975-09-01,428.51,74.330
1975-10-01,441.46,76.990
1975-11-01,448.61,78.800
1975-12-01,440.26,77.620
1976-01-01,492.88,87.050
1976-02-01,509.25,90.260
1976-03-01,510.28,90.620
1976-04-01,505.44,90.080
1976-05-01,490.56,88.040
1976-06-01,500.55,90.320
1976-07-01,503.28,91.290
1976-08-01,491.91,89.700
1976-09-01,498.74,91.260
1976-10-01,491.23,90.350
1976-11-01,494.60,91.120
1976-12-01,529.43,97.880
1977-01-01,514.10,95.540
1977-02-01,503.68,94.570
1977-03-01,498.04,94.130
1977-04-01,500.98,95.480
1977-05-01,498.98,95.590
1977-06-01,517.20,99.730
1977-07-01,519.45,100.650
1977-08-01,514.91,100.100
1977-09-01,517.06,100.850
1977-10-01,498.33,97.520
1977-11-01,524.62,103.150
1977-12-01,532.50,105.050
1978-01-01,507.93,100.840
1978-02-01,507.86,101.470
1978-03-01,527.28,106.200
1978-04-01,567.38,115.180
1978-05-01,586.89,120.240
1978-06-01,580.81,120.300
1978-07-01,605.20,126.320
1978-08-01,644.00,135.010
1978-09-01,629.10,132.890
1978-10-01,521.26,111.120
1978-11-01,535.72,114.690
1978-12-01,548.61,117.980
1979-01-01,579.90,125.820
1979-02-01,558.38,122.560
1979-03-01,594.24,131.760
1979-04-01,596.70,133.820
1979-05-01,578.64,131.420
1979-06-01,601.42,138.130
1979-07-01,608.57,141.330
1979-08-01,641.78,150.440
1979-09-01,632.92,149.980
1979-10-01,567.33,135.530
1979-11-01,598.39,144.260
1979-12-01,620.28,151.140
1980-01-01,654.44,161.750
1980-02-01,630.54,158.030
1980-03-01,514.83,131.000
1980-04-01,544.00,139.990
1980-05-01,578.93,150.450
1980-06-01,600.51,157.780
1980-07-01,653.91,171.810
1980-08-01,685.96,181.520
1980-09-01,703.72,187.760
1980-10-01,715.60,192.780
1980-11-01,766.41,208.150
1980-12-01,738.14,202.340
1981-01-01,715.68,197.810
1981-02-01,709.07,198.010
1981-03-01,747.61,210.180
1981-04-01,765.74,216.740
1981-05-01,783.49,223.470
1981-06-01,749.73,215.750
1981-07-01,727.37,211.630
1981-08-01,667.70,195.750
1981-09-01,608.14,180.030
1981-10-01,657.96,195.240
1981-11-01,676.60,201.370
1981-12-01,655.87,195.840
1982-01-01,628.85,188.390
1982-02-01,597.14,179.430
1982-03-01,585.09,175.650
1982-04-01,612.65,184.700
1982-05-01,586.68,178.540
1982-06-01,555.87,171.300
1982-07-01,540.37,167.350
1982-08-01,572.58,177.710
1982-09-01,603.29,187.650
1982-10-01,681.69,212.630
1982-11-01,746.18,232.310
1982-12-01,749.52,232.410
1983-01-01,799.44,248.350
1983-02-01,838.05,260.670
1983-03-01,870.62,270.800
1983-04-01,935.74,293.060
1983-05-01,979.60,308.730
1983-06-01,1008.37,318.700
1983-07-01,957.78,303.960
1983-08-01,918.78,292.420
1983-09-01,927.33,296.650
1983-10-01,855.77,274.550
1983-11-01,888.72,285.670
1983-12-01,865.89,278.600
1984-01-01,829.18,268.430
1984-02-01,776.40,252.570
1984-03-01,769.39,250.780
1984-04-01,755.43,247.440
1984-05-01,708.70,232.820
1984-06-01,727.58,239.650
1984-07-01,694.61,229.700
1984-08-01,766.98,254.640
1984-09-01,749.32,249.940
1984-10-01,738.53,247.000
1984-11-01,724.78,242.400
1984-12-01,738.83,247.100
1985-01-01,831.64,278.700
1985-02-01,844.07,284.200
1985-03-01,826.15,279.200
1985-04-01,826.37,280.600
1985-05-01,853.21,290.800
1985-06-01,866.68,296.200
1985-07-01,879.80,301.300
1985-08-01,867.80,297.700
1985-09-01,814.83,280.300
1985-10-01,847.08,292.500
1985-11-01,906.83,314.000
1985-12-01,935.71,324.900
1986-01-01,964.42,335.800
1986-02-01,1035.36,359.500
1986-03-01,1084.01,374.700
1986-04-01,1110.90,383.200
1986-05-01,1156.98,400.200
1986-06-01,1165.81,405.500
1986-07-01,1067.78,371.400
1986-08-01,1098.92,382.900
1986-09-01,1001.95,350.700
1986-10-01,1029.72,360.800
1986-11-01,1025.22,359.600
1986-12-01,993.73,348.800
1987-01-01,1110.04,392.100
1987-02-01,1198.93,425.000
1987-03-01,1207.72,430.100
1987-04-01,1166.92,417.800
